Search keyword report
"May 1, 2026 - May 31, 2026"
Keyword status,Keyword,Match type,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Enabled,braydeston court,Broad match,Limited,low quality,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,elderly care homes in Norfolk,Broad match,Paused,paused; rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,in home health care near me,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,retirement home near me,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,at home care near me,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,elderly care Norfolk,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""elderly care Norfolk""",Phrase match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,"""find a care home for my mum""",Phrase match,Paused,paused; rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,elderly care in brundall,Broad match,Not eligible,rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,care home,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,home health near me,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,services for elderly near me,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,[respite care near Norwich],Exact match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,residential care homes Norwich,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,respite care services near Norwich,Broad match,Paused,paused; rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,elderly car in acle,Broad match,Not eligible,rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""local care home""",Phrase match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,broadland house care home,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,caregiving near me,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,[residential care home norfolk],Exact match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,care homes in great yarmouth area,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""care homes great yarmouth""",Phrase match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,"""residential care homes Norwich""",Phrase match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,"""affordable residential care Norfolk""",Phrase match,Paused,paused; rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,[elderly care homes in Norfolk],Exact match,Paused,paused; rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,senior care near me,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,care homes in norwich,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,nurse home near me,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""care homes Norwich""",Phrase match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,help for the elderly near me,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,"""respite care services near Norwich""",Phrase match,Paused,paused; rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,"""moving into a care home help""",Phrase match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,affordable residential care Norfolk,Broad match,Paused,paused; rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,respite care near Norwich,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,elderly care in potter heigham,Broad match,Not eligible,rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,supportive elderly living Norfolk,Broad match,Not eligible,rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,care facilities near me,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,residential home near me,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,upton care home norfolk,Broad match,Limited,low quality,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,martham lodge care home,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,senior near me,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,"""care homes near Great Yarmouth""",Phrase match,Paused,paused; low quality,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,broadland house potter heigham,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""care home gorleston""",Phrase match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,care homes near Great Yarmouth,Broad match,Paused,paused; low quality,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,residential care homes Great Yarmouth,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,broadlands park upton,Broad match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,hollyman care homes near me,Broad match,Not eligible,rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,elderly care in martham,Broad match,Not eligible,rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,elderly care in Acle,Broad match,Not eligible,rarely served,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
 --,,Total: All but removed keywords, --,,5.00,GBP,48.58,,196,"5,054",3.88%,1.24,242.92,2.55%
,,Total: Keywords in your ad group,,,5.00,GBP,48.58,,196,"5,054",3.88%,1.24,242.92,2.55%
,,Total: Your keywords,,,5.00,GBP,48.58,,196,"5,054",3.88%,1.24,242.92,2.55%
,,Total: AI Max expanded matches,,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
,,Total: AI Max landing page matches,,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
,,Total: URL inclusions in your ad group,,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
,,Total: Ad group,,,5.00,GBP,48.58,,196,"5,054",3.88%,1.24,242.92,2.55%
